Hour,FPR_Query,FNR_Query,FPR_Insert,FNR_Insert,FPR_Delete,FNR_Delete,Inserts,Deletes,Queries,Insert_Rate,Delete_Rate,Query_Rate
242,0,0,0,0,0,0,2721,380,828,6.5884,0.9201,2.0048
243,0,0,0,0,0.0026,0,2760,383,786,6.6828,0.9274,1.9031
244,0,0,0,0.0004,0,0,2825,392,712,6.8402,0.9492,1.724
245,0,0,0,0.0004,0,0,2782,405,742,6.7361,0.9806,1.7966
246,0,0,0,0.0004,0,0,2759,396,774,6.6804,0.9588,1.8741
247,0,0,0,0.0004,0,0,2735,409,785,6.6223,0.9903,1.9007
248,0,0,0,0.0004,0,0,2722,393,814,6.5908,0.9516,1.9709
249,0,0,0,0.0004,0,0,2663,405,861,6.4479,0.9806,2.0847
250,0,0,0,0.0004,0,0,2724,381,824,6.5956,0.9225,1.9952
251,0,0,0,0.0004,0,0,2755,391,783,6.6707,0.9467,1.8959
252,0,0,0,0.0004,0,0,2759,395,775,6.6804,0.9564,1.8765
253,0,0,0,0.0004,0,0,2765,395,769,6.6949,0.9564,1.862
254,0,0,0,0.0004,0,0,2727,391,811,6.6029,0.9467,1.9637
255,0,0,0,0,0.0024,0,2719,423,787,6.5835,1.0242,1.9056
256,0,0,0,0.0004,0,0,2760,346,823,6.6828,0.8378,1.9927
257,0,0,0,0.0004,0,0,2731,396,802,6.6126,0.9588,1.9419
258,0,0,0,0,0.0025,0,2693,402,834,6.5206,0.9734,2.0194
259,0,0,0,0.0004,0,0,2757,407,765,6.6755,0.9855,1.8523
260,0,0,0,0.0004,0,0,2690,423,816,6.5133,1.0242,1.9758
261,0,0,0,0.0004,0,0,2716,405,808,6.5763,0.9806,1.9564
262,0,0,0,0,0,0,2747,403,779,6.6513,0.9758,1.8862
263,0,0,0,0,0.0024,0,2739,415,775,6.632,1.0048,1.8765
264,0,0,0,0.0004,0,0,2783,408,738,6.7385,0.9879,1.7869
265,0,0,0,0.0004,0,0,2741,392,796,6.6368,0.9492,1.9274
266,0,0,0,0,0,0,2782,374,773,6.7361,0.9056,1.8717
267,0,0,0,0.0004,0,0,2741,398,790,6.6368,0.9637,1.9128
268,0,0,0,0,0.0025,0,2719,405,805,6.5835,0.9806,1.9492
269,0,0,0,0.0004,0,0,2795,397,737,6.7676,0.9613,1.7845
270,0,0,0,0,0.0026,0,2758,388,783,6.678,0.9395,1.8959
271,0,0,0,0,0.0024,0,2690,410,829,6.5133,0.9927,2.0073
272,0,0,0,0.0004,0,0,2770,376,783,6.707,0.9104,1.8959
273,0,0,0,0,0.0024,0,2716,424,789,6.5763,1.0266,1.9104
274,0,0,0,0.0004,0,0,2772,383,774,6.7119,0.9274,1.8741
275,0,0,0,0.0004,0,0,2694,386,849,6.523,0.9346,2.0557
276,0,0,0,0,0,0,2797,351,781,6.7724,0.8499,1.891
277,0,0,0,0.0004,0,0,2753,388,788,6.6659,0.9395,1.908
278,0,0,0,0.0004,0,0,2773,358,798,6.7143,0.8668,1.9322
279,0,0,0,0.0004,0,0,2740,379,810,6.6344,0.9177,1.9613
280,0,0,0,0.0004,0,0,2740,385,804,6.6344,0.9322,1.9467
281,0,0,0,0.0004,0,0,2773,391,765,6.7143,0.9467,1.8523
282,0,0,0,0,0.0026,0,2752,392,785,6.6634,0.9492,1.9007
283,0,0,0,0,0,0,2725,402,802,6.5981,0.9734,1.9419
284,0,0,0,0.0004,0,0,2747,402,780,6.6513,0.9734,1.8886
285,0,0,0,0.0004,0,0,2772,398,759,6.7119,0.9637,1.8378
286,0,0,0,0,0,0,2751,407,771,6.661,0.9855,1.8668
287,0,0,0,0,0,0,2733,399,797,6.6174,0.9661,1.9298
288,0,0,0,0.0004,0,0,2745,386,798,6.6465,0.9346,1.9322
289,0,0,0,0,0,0,2714,405,810,6.5714,0.9806,1.9613
290,0,0,0,0.0004,0,0,2757,394,778,6.6755,0.954,1.8838
291,0,0,0,0.0004,0,0,2762,417,750,6.6877,1.0097,1.816
292,0,0,0,0.0004,0,0,2742,395,792,6.6392,0.9564,1.9177
293,0,0,0,0.0004,0,0,2722,397,810,6.5908,0.9613,1.9613
294,0,0,0,0.0004,0,0,2750,397,782,6.6586,0.9613,1.8935
295,0,0,0,0,0,0,2719,401,809,6.5835,0.9709,1.9588
296,0,0,0,0.0004,0,0,2783,377,769,6.7385,0.9128,1.862
297,0,0,0,0.0004,0,0,2729,379,821,6.6077,0.9177,1.9879
298,0,0,0,0.0004,0,0,2744,396,789,6.6441,0.9588,1.9104
299,0,0,0,0.0004,0,0,2761,385,783,6.6852,0.9322,1.8959
300,0,0,0,0.0004,0,0,2754,390,785,6.6683,0.9443,1.9007
301,0,0,0,0.0004,0,0,2785,389,755,6.7433,0.9419,1.8281
302,0,0,0,0.0004,0,0,2748,390,791,6.6538,0.9443,1.9153
303,0,0,0,0.0004,0,0,2728,396,805,6.6053,0.9588,1.9492
304,0,0,0,0.0004,0,0,2757,376,796,6.6755,0.9104,1.9274
305,0,0,0,0.0004,0,0,2738,394,797,6.6295,0.954,1.9298
306,0,0,0,0.0004,0,0,2785,369,775,6.7433,0.8935,1.8765
307,0,0,0,0,0,0,2743,401,785,6.6416,0.9709,1.9007
308,0,0,0,0.0004,0,0,2747,439,743,6.6513,1.063,1.799
309,0,0,0,0.0004,0,0,2766,376,787,6.6973,0.9104,1.9056
310,0,0,0,0.0004,0,0,2784,378,767,6.7409,0.9153,1.8571
311,0,0,0,0.0004,0,0,2709,393,827,6.5593,0.9516,2.0024
312,0,0,0,0,0,0,2715,397,817,6.5738,0.9613,1.9782
313,0,0,0,0.0004,0,0,2774,368,787,6.7167,0.891,1.9056
314,0,0,0,0.0004,0,0,2711,398,820,6.5642,0.9637,1.9855
315,0,0,0,0.0004,0,0,2764,386,779,6.6925,0.9346,1.8862
316,0,0,0,0,0,0,2742,395,792,6.6392,0.9564,1.9177
317,0,0,0,0.0004,0,0,2708,418,803,6.5569,1.0121,1.9443
318,0,0,0,0.0004,0,0,2725,401,803,6.5981,0.9709,1.9443
319,0,0,0,0.0004,0,0,2747,395,787,6.6513,0.9564,1.9056
320,0,0,0,0.0004,0,0,2778,388,763,6.7264,0.9395,1.8475
321,0,0,0,0,0,0,2740,396,793,6.6344,0.9588,1.9201
322,0,0,0,0,0.0024,0,2714,416,799,6.5714,1.0073,1.9346
323,0,0,0,0.0004,0,0,2745,426,758,6.6465,1.0315,1.8354
324,0,0,0,0.0004,0,0,2692,420,817,6.5182,1.0169,1.9782
325,0,0,0,0.0004,0,0,2767,397,765,6.6998,0.9613,1.8523
326,0,0,0,0.0004,0,0,2764,378,787,6.6925,0.9153,1.9056
327,0,0,0,0,0,0,2792,386,751,6.7603,0.9346,1.8184
328,0,0,0,0.0004,0,0,2771,372,786,6.7094,0.9007,1.9031
329,0,0,0,0,0,0,2712,373,844,6.5666,0.9031,2.0436
330,0,0,0,0,0,0,2754,373,802,6.6683,0.9031,1.9419
331,0,0,0,0.0004,0,0,2768,396,765,6.7022,0.9588,1.8523
332,0,0,0,0.0004,0,0,2776,362,791,6.7215,0.8765,1.9153
333,0,0,0,0.0004,0,0,2751,398,780,6.661,0.9637,1.8886
334,0,0,0,0.0004,0,0,2773,391,765,6.7143,0.9467,1.8523
335,0,0,0,0,0.0026,0,2778,384,767,6.7264,0.9298,1.8571
336,0,0,0,0.0004,0,0,2719,411,799,6.5835,0.9952,1.9346
337,0,0,0,0.0004,0,0,2751,381,797,6.661,0.9225,1.9298
338,0,0,0,0.0004,0,0,2786,391,752,6.7458,0.9467,1.8208
339,0,0,0,0,0,0,2770,415,744,6.707,1.0048,1.8015
340,0,0,0,0.0004,0,0,2748,406,775,6.6538,0.9831,1.8765
341,0,0,0,0.0004,0,0,2750,380,799,6.6586,0.9201,1.9346
342,0,0,0,0.0004,0,0,2716,411,802,6.5763,0.9952,1.9419
343,0,0,0,0,0,0,2754,379,796,6.6683,0.9177,1.9274
344,0,0,0,0,0,0,2707,397,825,6.5545,0.9613,1.9976
